epoch,layer_name,importance_score,allocated_rank
1,base_model.model.model.layers.0.self_attn.q_proj,0.17167110741138458,7
1,base_model.model.model.layers.0.self_attn.k_proj,0.4105924069881439,9
1,base_model.model.model.layers.0.self_attn.v_proj,0.34081146121025085,8
1,base_model.model.model.layers.0.self_attn.o_proj,0.6344079971313477,11
1,base_model.model.model.layers.0.mlp.gate_proj,0.37858858704566956,8
1,base_model.model.model.layers.0.mlp.up_proj,0.3678854703903198,8
1,base_model.model.model.layers.0.mlp.down_proj,0.3678854703903198,8
1,base_model.model.model.layers.1.self_attn.q_proj,0.31468644738197327,8
1,base_model.model.model.layers.1.self_attn.k_proj,1.0,16
1,base_model.model.model.layers.1.self_attn.v_proj,0.42867690324783325,9
1,base_model.model.model.layers.1.self_attn.o_proj,0.3601349890232086,8
1,base_model.model.model.layers.1.mlp.gate_proj,0.35765692591667175,8
1,base_model.model.model.layers.1.mlp.up_proj,0.3375161588191986,8
1,base_model.model.model.layers.1.mlp.down_proj,0.3375161588191986,8
1,base_model.model.model.layers.2.self_attn.q_proj,0.3191152811050415,8
1,base_model.model.model.layers.2.self_attn.k_proj,0.7984867691993713,13
1,base_model.model.model.layers.2.self_attn.v_proj,0.38449373841285706,8
1,base_model.model.model.layers.2.self_attn.o_proj,0.4017346501350403,8
1,base_model.model.model.layers.2.mlp.gate_proj,0.42245540022850037,9
1,base_model.model.model.layers.2.mlp.up_proj,0.42008280754089355,9
1,base_model.model.model.layers.2.mlp.down_proj,0.4199773669242859,9
1,base_model.model.model.layers.3.self_attn.q_proj,0.7343209981918335,12
1,base_model.model.model.layers.3.self_attn.k_proj,0.49447712302207947,9
1,base_model.model.model.layers.3.self_attn.v_proj,0.37621599435806274,8
1,base_model.model.model.layers.3.self_attn.o_proj,0.27350857853889465,7
1,base_model.model.model.layers.3.mlp.gate_proj,0.3916642665863037,8
1,base_model.model.model.layers.3.mlp.up_proj,0.3854427635669708,8
1,base_model.model.model.layers.3.mlp.down_proj,0.38533732295036316,8
1,base_model.model.model.layers.4.self_attn.q_proj,0.6145309209823608,11
1,base_model.model.model.layers.4.self_attn.k_proj,0.30907127261161804,8
1,base_model.model.model.layers.4.self_attn.v_proj,0.2483062446117401,7
1,base_model.model.model.layers.4.self_attn.o_proj,0.22289299964904785,7
1,base_model.model.model.layers.4.mlp.gate_proj,0.44755229353904724,9
1,base_model.model.model.layers.4.mlp.up_proj,0.4108560085296631,9
1,base_model.model.model.layers.4.mlp.down_proj,0.4109087288379669,9
1,base_model.model.model.layers.5.self_attn.q_proj,0.7119658589363098,12
1,base_model.model.model.layers.5.self_attn.k_proj,0.4576226472854614,9
1,base_model.model.model.layers.5.self_attn.v_proj,0.3657238185405731,8
1,base_model.model.model.layers.5.self_attn.o_proj,0.2771465480327606,7
1,base_model.model.model.layers.5.mlp.gate_proj,0.41180503368377686,9
1,base_model.model.model.layers.5.mlp.up_proj,0.42208632826805115,9
1,base_model.model.model.layers.5.mlp.down_proj,0.4220336079597473,9
1,base_model.model.model.layers.6.self_attn.q_proj,0.79563969373703,13
1,base_model.model.model.layers.6.self_attn.k_proj,0.4982732832431793,9
1,base_model.model.model.layers.6.self_attn.v_proj,0.41955557465553284,9
1,base_model.model.model.layers.6.self_attn.o_proj,0.3910315930843353,8
1,base_model.model.model.layers.6.mlp.gate_proj,0.44438880681991577,9
1,base_model.model.model.layers.6.mlp.up_proj,0.469696581363678,9
1,base_model.model.model.layers.6.mlp.down_proj,0.4697493016719818,9
1,base_model.model.model.layers.7.self_attn.q_proj,0.5370258092880249,10
1,base_model.model.model.layers.7.self_attn.k_proj,0.49916961789131165,9
1,base_model.model.model.layers.7.self_attn.v_proj,0.44739410281181335,9
1,base_model.model.model.layers.7.self_attn.o_proj,0.30909761786460876,8
1,base_model.model.model.layers.7.mlp.gate_proj,0.6316136717796326,11
1,base_model.model.model.layers.7.mlp.up_proj,0.5064983367919922,9
1,base_model.model.model.layers.7.mlp.down_proj,0.506445586681366,9
1,base_model.model.model.layers.8.self_attn.q_proj,0.6035114526748657,11
1,base_model.model.model.layers.8.self_attn.k_proj,0.3442121744155884,8
1,base_model.model.model.layers.8.self_attn.v_proj,0.27532756328582764,7
1,base_model.model.model.layers.8.self_attn.o_proj,0.23030079901218414,7
1,base_model.model.model.layers.8.mlp.gate_proj,0.5327551364898682,10
1,base_model.model.model.layers.8.mlp.up_proj,0.47402000427246094,9
1,base_model.model.model.layers.8.mlp.down_proj,0.47417816519737244,9
1,base_model.model.model.layers.9.self_attn.q_proj,0.3733688294887543,8
1,base_model.model.model.layers.9.self_attn.k_proj,0.4419107437133789,9
1,base_model.model.model.layers.9.self_attn.v_proj,0.3296338617801666,8
1,base_model.model.model.layers.9.self_attn.o_proj,0.29156672954559326,7
1,base_model.model.model.layers.9.mlp.gate_proj,0.40742892026901245,9
1,base_model.model.model.layers.9.mlp.up_proj,0.4086942970752716,9
1,base_model.model.model.layers.9.mlp.down_proj,0.4086942970752716,9
1,base_model.model.model.layers.10.self_attn.q_proj,0.32074975967407227,8
1,base_model.model.model.layers.10.self_attn.k_proj,0.301584392786026,8
1,base_model.model.model.layers.10.self_attn.v_proj,0.2934911549091339,7
1,base_model.model.model.layers.10.self_attn.o_proj,0.2155642956495285,7
1,base_model.model.model.layers.10.mlp.gate_proj,0.49173545837402344,9
1,base_model.model.model.layers.10.mlp.up_proj,0.3968839943408966,8
1,base_model.model.model.layers.10.mlp.down_proj,0.39693671464920044,8
1,base_model.model.model.layers.11.self_attn.q_proj,0.24403555691242218,7
1,base_model.model.model.layers.11.self_attn.k_proj,0.4547228217124939,9
1,base_model.model.model.layers.11.self_attn.v_proj,0.2654680609703064,7
1,base_model.model.model.layers.11.self_attn.o_proj,0.21667151153087616,7
1,base_model.model.model.layers.11.mlp.gate_proj,0.42408987879753113,9
1,base_model.model.model.layers.11.mlp.up_proj,0.43205124139785767,9
1,base_model.model.model.layers.11.mlp.down_proj,0.4321039915084839,9
1,base_model.model.model.layers.12.self_attn.q_proj,0.2550022304058075,7
1,base_model.model.model.layers.12.self_attn.k_proj,0.5196267366409302,10
1,base_model.model.model.layers.12.self_attn.v_proj,0.3054596483707428,8
1,base_model.model.model.layers.12.self_attn.o_proj,0.1871984899044037,7
1,base_model.model.model.layers.12.mlp.gate_proj,0.2741148769855499,7
1,base_model.model.model.layers.12.mlp.up_proj,0.2732186019420624,7
1,base_model.model.model.layers.12.mlp.down_proj,0.27316585183143616,7
1,base_model.model.model.layers.13.self_attn.q_proj,0.15055491030216217,6
1,base_model.model.model.layers.13.self_attn.k_proj,0.3664882779121399,8
1,base_model.model.model.layers.13.self_attn.v_proj,0.19523897767066956,7
1,base_model.model.model.layers.13.self_attn.o_proj,0.14950042963027954,6
1,base_model.model.model.layers.13.mlp.gate_proj,0.5675005912780762,10
1,base_model.model.model.layers.13.mlp.up_proj,0.46036434173583984,9
1,base_model.model.model.layers.13.mlp.down_proj,0.46041709184646606,9
1,base_model.model.model.layers.14.self_attn.q_proj,0.18276959657669067,7
1,base_model.model.model.layers.14.self_attn.k_proj,0.3666728436946869,8
1,base_model.model.model.layers.14.self_attn.v_proj,0.26425543427467346,7
1,base_model.model.model.layers.14.self_attn.o_proj,0.2292199432849884,7
1,base_model.model.model.layers.14.mlp.gate_proj,0.3253367841243744,8
1,base_model.model.model.layers.14.mlp.up_proj,0.28784963488578796,7
1,base_model.model.model.layers.14.mlp.down_proj,0.28784963488578796,7
1,base_model.model.model.layers.15.self_attn.q_proj,0.12317771464586258,6
1,base_model.model.model.layers.15.self_attn.k_proj,0.3283684551715851,8
1,base_model.model.model.layers.15.self_attn.v_proj,0.23794588446617126,7
1,base_model.model.model.layers.15.self_attn.o_proj,0.09533914178609848,6
1,base_model.model.model.layers.15.mlp.gate_proj,0.4294150173664093,9
1,base_model.model.model.layers.15.mlp.up_proj,0.29797276854515076,8
1,base_model.model.model.layers.15.mlp.down_proj,0.29807817935943604,8
1,base_model.model.model.layers.16.self_attn.q_proj,0.10249649733304977,6
1,base_model.model.model.layers.16.self_attn.k_proj,0.29185670614242554,7
1,base_model.model.model.layers.16.self_attn.v_proj,0.23860490322113037,7
1,base_model.model.model.layers.16.self_attn.o_proj,0.1135818362236023,6
